Unnamed: 0,address,stETH,wstETH,total,label,type,protocol_type,total_token_share,reaction_time,distribution
1844,0x6a00fa7fe03d9248a8336b9a6ea6ea1b2f2ded8f,0.1173278126656212,10.273376197023603,10.390704009689228,,No label,No label,0.0001154982502504,3,Original
1845,0xe35d82b1cc2e95485b228673ee91302f4e7b9022,0.1173278126656212,10.252653123200236,10.369980935865858,,No label,No label,0.0001152679021658,3,Original
1846,0xac2669de1be509ebbdfd15209cd2b33c1a3e50e5,0.1173278126656212,10.238412446291328,10.35574025895695,,Private,,0.0001151096094011,3,Original
1847,0x595e4a135ff328d3b4f1c6d87483c65abfda6e31,0.1173278126656212,10.236505146995222,10.353832959660844,,Private,,0.000115088408746,3,Original
1848,0x8428706a0353e7c68ab1b475d81491ec14f90b0a,0.1173278126656212,10.235995489797611,10.353323302463236,,Private,,0.0001150827436328,3,Original
1849,0x41e72d30c967a595cc2c7dbc9e1ed98638f3b8c8,0.1173278126656212,10.230098362624863,10.347426175290485,,No label,No label,0.0001150171939001,3,Original
1850,0x1c9a231faa6efaf98715bb512466f3d0a5aee929,0.1173278126656212,10.192512106740423,10.309839919406045,,No label,No label,0.0001145994024989,3,Original
1851,0x1099f949420457cb7f21af629e71534478178558,0.1173278126656212,10.17790706299188,10.2952348756575,,Private,,0.0001144370596012,3,Original
1852,0x3954e386ffda8d4189dbab5d60c8cad76365193c,0.1173278126656212,10.147593550182725,10.264921362848346,,Private,,0.0001141001086415,3,Original
1853,0x53bf64b4a97ea57ba3304d87b8097782c6796034,0.1173278126656212,10.147017798599157,10.264345611264778,,Private,,0.0001140937088537,3,Original
1854,0x7c7d9797ef939f1f0cde517356c160ceeefd69cf,0.1173278126656212,10.12818255252782,10.24551036519344,,Private,,0.0001138843449875,3,Original
1855,0x5674a2f436941684981da520e9eb8ceedb056339,0.1173278126656212,10.121040258861024,10.238368071526644,,No label,No label,0.0001138049545611,1,Original
1856,0xfd839b38488a890953921ce1ee228ad8ee6e4532,0.1173278126656212,10.100950918067207,10.21827873073283,,Private,,0.0001135816507592,3,Original
1857,0xe470abb64b9f03187e3c7f6059278642cc09bc02,0.1173278126656212,10.09259201540528,10.209919828070902,,Private,,0.0001134887370711,1,Original
